0
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                    Level   DamageMin   DamageMax   AttackSpeed   Durability   MagicDurability   MagicDamageRate   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   None   DW      DK      FE      MG      DL      SU      RF
//105      0      260     1       2        1            1            0          "Archangel Absolute Claws"              100     121         130         35            255           0                 0                 0          63            43             0           0             0               0      0       0       0       0       0       0       1
//106      0      260    1       2        1            1            0          "Blessed Arch's Ab Claws"                149     11314         11979         35            255           0                 0                 380        63            43             0           0             0               0      0       0       0       0       0       0       1
107      0      270     1       2        1            1            0          "Pantera Claws"                         147     183          192          40            255           0                 0                 380        63            43             0           0             0               0      0       0       0       0       0       0       1
108      0      270     1       2        1            1            0          "Devast Claws"                          145     35          46          40            255           0                 0                 380        63            43             0           0             0               0      0       0       0       0       0       0       1
//69       0      19      1       4        1            1            0          "Blue Eye Sword"                        149     12445         13177         40            255           0                 0                 380        60            30             0           0             0               0      0       3       0       0       0       0       0
//70       0      56      1       4        1            1            0          "Blue Eye Magic Sword"                  149     12445         13177         45            255           0                 140               380        60            30             16          0             0               0      0       0       0       3       0       0       0
//109      0      260     1       2        1            1            0          "Blue Eye Claws"                        145     12445         13177         40            255           0                 0                 380        63            43             0           0             0               0      0       0       0       0       0       0       1
//71       0      19      1       4        1            1            0          "Silver Heart Sword"                    149     13689         14495         40            90           0                 0                 380        60            30             0           0             0               0      0       3       0       0       0       0       0
//72       0      56      1       4        1            1            0          "Silver Heart Magic Sword"              149     13689         14495         45            90           0                 149               380        60            30             16          0             0               0      0       0       0       3       0       0       0
//110      0      260     1       2        1            1            0          "Silver Heart Claws"                    145     13689         14495         40            90           0                 0                 380        63            43             0           0             0               0      0       0       0       0       0       0       1
//90       0      19      1       4        1            1            0          "Manticore Sword"                       149     15058         15944         40            90           0                 0                 380        60            30             0           0             0               0      0       3       0       0       0       0       0
//91       0      56      1       4        1            1            0          "Manticore Magic Sword"                 149     15058         15944         45            90           0                 158               380        60            30             16          0             0               0      0       0       0       3       0       0       0
//111      0      260     1       2        1            1            0          "Manticore Claws"                       145     15058         15944         40            90           0                 0                 380        63            43             0           0             0               0      0       0       0       0       0       0       1
//92       0      19      1       4        1            1            0          "Brilliant Sword"                       149     16564         17538         40            90           0                 0                 380        60            30             0           0             0               0      0       3       0       0       0       0       0
//93       0      56      1       4        1            1            0          "Brilliant Magic Sword"                 149     16564         17538         45            90           0                 167               380        60            30             16          0             0               0      0       0       0       3       0       0       0
//112      0      260     1       2        1            1            0          "Brilliant Claws"                       145     16564         17538         40            90           0                 0                 380        63            43             0           0             0               0      0       0       0       0       0       0       1
//94       0      19      1       4        1            1            0          "Apocalypse Sword"                      149     18221         19292         40            90           0                 0                 380        60            30             0           0             0               0      0       3       0       0       0       0       0
//95       0      56      1       4        1            1            0          "Apocalypse Magic Sword"                149     18221         19292         45            90           0                 182               380        60            30             16          0             0               0      0       0       0       3       0       0       0
//113      0      260     1       2        1            1            0          "Apocalypse Claws"                      145     18221         19292         40            90           0                 0                 380        63            43             0           0             0               0      0       0       0       0       0       0       1
//114      0      260     1       2        1            1            0          "Primodial Lightning Claws"             145     20043         21222         40            90           0                 0                 380        63            43             0           0             0               0      0       0       0       0       0       0       1
//80       0      19      1       3        1            1            0          "Flat Short Sword"                      15      1           6           20            90           0                 0                 0          50            0              0           0             0               0      0       1       0       1       1       0       0
//81       0      19      1       3        1            1            0          "Dacia Short Sword"                     75      50          60          40            90           0                 0                 0          40            85             0           0             0               0      0       1       0       1       1       0       0
//82       0      19      1       3        1            1            0          "Cookery Short Sword"                   95      80          90          40            90           0                 0                 0          55            155            0           0             0               0      0       1       0       1       1       0       0
//83       0      19      1       3        1            1            0          "Divine Short Sword of Arc"             130     220         230         45            90           0                 0                 0          50            145            0           0             0               0      0       1       0       1       1       0       0
//84       0      19      1       4        1            1            0          "Silver Blade"                          95      55          75          40            90           0                 0                 0          55            155            0           0             0               0      0       1       0       1       1       0       0
//85       0      19      1       4        1            1            0          "Xenoblade"                             85      95          90          40            90           0                 0                 0          55            155            0           0             0               0      0       1       0       1       1       0       0
//86       0      19      1       4        1            1            0          "Archangel Absolute Blade"              130     165         195         40            90           0                 0                 0          55            155            0           0             0               0      0       1       0       1       1       0       0
//87       0      19      1       4        1            1            0          "Dragon Blade"                          80      125         155         40            90           0                 0                 0          50            145            0           0             0               0      0       1       0       1       1       0       0
//88       0      19      1       4        1            1            0          "Blood Blade"                           100     150         180         40            90           0                 0                 0          50            145            0           0             0               0      0       1       0       1       1       0       0
//120      0      56      1       4        1            1            0          "Bloodangel M Two Hand Sword"           149     1296         1325         45            90           0                 112               380        60            30             16          0             0               0      0       0       0       3       0       0       0
//121      0      56      1       4        1            1            0          "Darkangel M Two Hand Sword"            149     8500         9000         45            90           0                 118               380        60            30             16          0             0               0      0       0       0       3       0       0       0
//122      0      56      1       4        1            1            0          "Holyangel M Two Hand Sword"            149     9350         9900         45            90           0                 125               380        60            30             16          0             0               0      0       0       0       3       0       0       0
//123      0      56      1       4        1            1            0          "Soul M Two Hand Sword"                 149     10285         10890         45            90           0                 133               380        60            30             16          0             0               0      0       0       0       3       0       0       0
//124      0      56      1       4        1            1            0          "Blue Eye M Two Hand Sword"             149     12445         13177         45            90           0                 140               380        60            30             16          0             0               0      0       0       0       3       0       0       0
//125      0      56      1       4        1            1            0          "Silver Heart M Two Hand Sword"         149     13689         14495         45            90           0                 149               380        60            30             16          0             0               0      0       0       0       3       0       0       0
//126      0      56      1       4        1            1            0          "Manticore M Two Hand Sword"            149     15058         15944         45            90           0                 158               380        60            30             16          0             0               0      0       0       0       3       0       0       0
//127      0      56      1       4        1            1            0          "Brilliant M Two Hand Sword"            149     16564         17538         45            90           0                 167               380        60            30             16          0             0               0      0       0       0       3       0       0       0
//128      0      56      1       4        1            1            0          "Apocalypse M Two Hand Sword"           149     18221         19292        45            90           0                 182               380        60            30             16          0             0               0      0       0       0       3       0       0       0
//129      0      19      1       4        1            1            0          "Primodial Lightning Sword"             149     20043         21222         40            90           0                 0                 380        60            30             0           0             0               0      0       3       0       0       0       0       0
//130      0      56      1       4        1            1            0          "Primodial Lightning Magic Sword"       149     20043         21222         45            90           0                 182               380        60            30             16          0             0               0      0       0       0       3       0       0       0
//131      0      56      1       4        1            1            0          "Darkness Sword"       				  149     800         900         45            90           0                 182               380        60            30             16          0             0               0      0       3       0       0       0       0       0
//132      0      56      1       4        1            1            0          "Soul M Two Hand Sword"                 149     10285         10890         45            90           0                 140               380        60            30             16          0             0               0      0       0       0       3       0       0       0
//133      0      19      1       4        1            1            0          "Halloween Sword"                       149     12445         13177         45            90           0                 140               380        60            30             16          0             0               0      0       3       0       3       0       0       0
//134      0      260     1       2        1            1            0          "Halloween Claws"                       145     12445         13177         40            255           0                 0                 380        63            43             0           0             0               0      0       0       0       0       0       0       1
//Mastery Pendants
//336      9      0       1       1        1            1            0          "Bloodangel Pendant"                    100     1240         1290         0            225           225                 140               380        60            30             16          0             0               0      1       1       1       1       1       1      1
//337      9      0       1       1        1            1            0          "Darkangel Pendant"                     105     2245         2295         0            225           225                 145               380        60            30             16          0             0               0      1       1       1       1       1       1      1
//338      9      0       1       1        1            1            0          "Holyangel Pendant"                     110     3250         3300         0            225           225                 150               380        60            30             16          0             0               0      1       1       1       1       1       1      1
//339      9      0       1       1        1            1            0          "Soul Awakening Pendant"         	      115     4245         4305         0            225           225                 155               380        60            30             16          0             0               0      1       1       1       1       1       1      1
//340      9      0       1       1        1            1            0          "Blue Eye Pendant"                      120     5260         5310         0            225           225                 160               380        60            30             16          0             0               0      1       1       1       1       1       1      1
//341      9      0       1       1        1            1            0          "Silver Heart Pendant"                  125     6245         6315         0            225           225                 155               380        60            30             16          0             0               0      1       1       1       1       1       1      1
//342      9      0       1       1        1            1            0          "Manticore Pendant"                     130     7270         7320         0            225           225                 170               380        60            30             16          0             0               0      1       1       1       1       1       1      1
//343      9      0       1       1        1            1            0          "Brilliant Pendant"                     135     8245         8325         0            225           225                 175               380        60            30             16          0             0               0      1       1       1       1       1       1      1
//344      9      0       1       1        1            1            0          "Apocalypse Pendant"                    140     9280         9330         0            225           225                 180               380        60            30             16          0             0               0      1       1       1       1       1       1      1
//345      9      0       1       1        1            1            0          "Lightning Pendant"                     145     10245        10335       0            225           225                 185               380        60            30             16          0             0               0      1       1       1       1       1       1      1
//346      9      0       1       1        1            1            0          "Soul Awakening Pendant"         	      115     4545         4555         0            225           225                 155               380        60            30             16          0             0               0      1       1       1       1       1       1      1
end

1
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                    Level   DamageMin   DamageMax   AttackSpeed   Durability   MagicDurability   MagicDamageRate   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   None   DW      DK      FE      MG      DL      SU      RF
0        0      0       1       3        1            1            1          "Small Axe"                             1       1           6           20            18           0                 0                 0          50            0              0           0             0               0      1       1       1       1       1       1       1
1        0      0       1       3        1            1            0          "Hand Axe(bug)"                         4       4           9           30            20           0                 0                 0          70            0              0           0             0               0      1       1       1       1       1       1       1
2        0      19      1       3        1            1            1          "Double Axe"                            14      14          24          20            26           0                 0                 0          90            0              0           0             0               0      0       1       0       1       1       0       0
3        0      19      1       3        1            1            1          "Tomahawk"                              18      18          28          30            28           0                 0                 0          100           0              0           0             0               0      0       1       0       1       1       0       1
4        0      0       1       3        1            1            1          "Elven Axe"                             26      26          38          40            32           0                 0                 0          50            70             0           0             0               0      1       0       1       1       0       1       0
5        0      19      1       3        1            1            1          "Battle Axe"                            30      36          44          20            36           0                 0                 0          120           0              0           0             0               0      0       1       1       1       0       0       0
6        0      19      1       3        1            1            1          "Nikea Axe"                             34      38          50          30            44           0                 0                 0          130           0              0           0             0               0      0       1       1       1       0       0       0
7        0      19      1       3        1            1            1          "Larkan Axe"                            46      54          67          25            55           0                 0                 0          140           0              0           0             0               0      0       1       0       1       0       0       0
8        0      19      1       3        1            1            0          "Crescent Axe"                          54      69          89          30            65           0                 0                 0          100           40             0           0             0               0      1       1       0       1       0       0       0
9        0      0       1       3        1            1            0          "Hand Axe"                              4       4           9           30            20           0                 0                 0          70            0              0           0             0               0      1       1       1       1       1       1       1
//10       0      19      1       3        1            1            0          "Mace of King"                          400     13689       14495       50            255          0                 0                 0          70            0              0           0             0               0      1       1       1       1       1       1       1
end

2
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                    Level   DamageMin   DamageMax   AttackSpeed   Durability   MagicDurability   MagicDamageRate   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   None   DW      DK      FE      MG      DL      SU      RF
0        0      0       1       3        1            1            1          "Mace"                                  7       7           13          15            21           0                 0                 0          100           0              0           0             0               0      0       1       0       1       1       0       1
1        0      19      1       3        1            1            1          "Morning Star"                          13      13          22          15            25           0                 0                 0          100           0              0           0             0               0      0       1       0       1       1       0       1
2        0      0       1       3        1            1            1          "Flail"                                 22      22          32          15            32           0                 0                 0          80            50             0           0             0               0      0       1       0       1       1       0       1
3        0      19      1       3        1            1            1          "Great Hammer"                          38      45          56          15            50           0                 0                 0          150           0              0           0             0               0      0       1       0       1       0       0       1
4        0      19      1       3        1            1            1          "Crystal Morning Star"                  66      78          107         30            72           0                 0                 0          130           0              0           0             0               0      1       1       1       1       0       0       1
5        0      23      1       4        1            1            1          "Crystal Sword"                         72      89          120         40            76           0                 0                 0          130           70             0           0             0               0      1       1       1       1       0       0       0
6        0      23      1       4        1            1            0          "Chaos Dragon Axe"                      75      102         130         35            80           0                 0                 0          140           50             0           0             0               0      0       1       0       1       0       0       0
7        0      0       1       3        1            1            1          "Elemental Mace"                        90      62          80          50            50           0                 0                 0          15            42             0           0             0               0      0       0       2       0       0       0       0
